iter	Passed	Remaining
0	2	260
1	3	188
2	4	149
3	5	130
4	6	117
5	7	111
6	7	105
7	8	99
8	9	94
9	10	90
10	10	87
11	11	85
12	12	82
13	13	82
14	14	82
15	15	83
16	16	81
17	17	79
18	18	77
19	18	75
20	19	74
21	20	73
22	21	71
23	22	70
24	23	69
25	23	68
26	24	66
27	25	65
28	26	64
29	27	64
30	28	63
31	29	62
32	29	60
33	30	59
34	31	58
35	32	56
36	32	55
37	33	54
38	34	53
39	34	52
40	35	50
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	44
49	43	43
50	43	42
51	44	40
52	45	40
53	45	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	59	24
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	68	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
